Date,Open,High,Low,Close,Volume,Adj Close
2013-12-03,179.94,180.39,179.17,179.75,116563000,174.57
2013-12-02,181.09,181.43,180.25,180.53,99726000,175.33
2013-11-29,181.32,181.75,180.80,181.00,55870900,175.79
2013-11-27,180.87,181.24,180.65,181.12,58800000,175.90
2013-11-26,180.72,181.22,180.41,180.68,86994000,175.48
2013-11-25,181.13,181.17,180.37,180.63,79486000,175.43
2013-11-22,179.98,180.83,179.77,180.81,81296000,175.60
2013-11-21,178.97,180.05,178.86,179.91,92841000,174.73
2013-11-20,179.39,179.93,177.98,178.47,124909000,173.33
2013-11-19,179.33,179.87,178.72,179.03,93891000,173.87
2013-11-18,180.35,180.50,179.02,179.42,104796000,174.25
2013-11-15,179.56,180.12,179.33,180.05,102818000,174.87
2013-11-14,178.54,179.42,178.25,179.27,103435000,174.11
2013-11-13,176.09,178.43,176.09,178.38,103844000,173.24
2013-11-12,176.94,177.36,176.37,176.96,83990000,171.86
2013-11-11,177.12,177.53,176.91,177.32,62614000,172.21
2013-11-08,174.87,177.31,174.85,177.29,136713000,172.18
2013-11-07,177.50,177.64,174.76,174.93,157000000,169.89
2013-11-06,177.03,177.50,176.54,177.17,87348000,172.07
2013-11-05,176.14,176.75,175.57,176.27,85825000,171.19
2013-11-04,176.69,176.90,175.98,176.83,85677000,171.74
2013-11-01,176.02,176.61,175.22,176.21,142805000,171.14
2013-10-31,176.15,176.89,175.53,175.79,133795000,170.73
2013-10-30,177.38,177.51,175.66,176.29,140002000,171.21
2013-10-29,176.63,177.24,176.38,177.17,87401000,172.07
2013-10-28,175.89,176.47,175.70,176.23,84979000,171.16
2013-10-25,175.51,176.00,175.17,175.95,93625000,170.88
2013-10-24,174.92,175.37,174.51,175.15,70350000,170.11
2013-10-23,174.81,174.89,173.96,174.57,105484000,169.54
2013-10-22,174.91,175.93,174.43,175.41,126663000,170.36
2013-10-21,174.45,174.75,174.01,174.40,104104000,169.38
2013-10-18,173.86,174.51,173.51,174.39,138316000,169.37
2013-10-17,171.37,173.32,171.34,173.22,129389000,168.23
2013-10-16,170.72,172.16,170.64,172.07,161676000,167.11
2013-10-15,170.51,171.15,169.47,169.70,155485000,164.81
2013-10-14,169.21,171.08,169.08,170.94,112106000,166.02
2013-10-11,168.91,170.32,168.77,170.26,105040000,165.36
2013-10-10,167.29,169.26,167.23,169.17,195955000,164.30
2013-10-09,165.80,166.20,164.53,165.60,168973000,160.83
2013-10-08,167.40,167.62,165.36,165.48,178015000,160.71
2013-10-07,167.42,168.45,167.25,167.43,96295000,162.61
2013-10-04,167.75,169.06,167.53,168.89,96878000,164.03
2013-10-03,168.79,168.94,166.84,167.62,176698000,162.79
2013-10-02,168.35,169.34,167.83,169.18,113350000,164.31
2013-10-01,168.14,169.50,167.97,169.34,127160000,164.46
2013-09-30,167.48,168.54,167.15,168.01,143937000,163.17
2013-09-27,168.84,169.14,168.47,168.91,99141800,164.05
2013-09-26,169.32,170.17,169.05,169.69,77146900,164.80
2013-09-25,169.64,169.98,168.89,169.04,117306500,164.17
2013-09-24,169.90,170.53,169.21,169.53,106333100,164.65
2013-09-23,170.49,170.65,169.39,169.93,104616500,165.04
2013-09-20,172.33,172.33,170.58,170.72,132867100,165.80
2013-09-19,173.52,173.60,172.59,172.76,146616900,166.97
2013-09-18,171.01,173.52,170.58,173.05,203460600,167.25
2013-09-17,170.46,171.11,170.46,171.07,82523300,165.34
2013-09-16,171.16,171.24,170.04,170.31,106299200,164.60
2013-09-13,169.13,169.46,168.74,169.33,72727800,163.66
2013-09-12,169.34,169.56,168.72,168.95,83209000,163.29
2013-09-11,168.64,169.40,168.35,169.40,94545900,163.72
2013-09-10,168.64,168.90,168.26,168.87,105847200,163.21
2013-09-09,166.45,167.73,166.45,167.63,87559300,162.01
2013-09-06,166.51,166.98,164.48,166.04,159756500,160.48
2013-09-05,165.85,166.40,165.73,165.96,63090500,160.40
2013-09-04,164.43,166.03,164.13,165.75,97389400,160.20
2013-09-03,165.23,165.58,163.70,164.39,142375100,158.88
2013-08-30,164.51,164.53,163.17,163.65,134928900,158.17
2013-08-29,163.55,165.04,163.40,164.17,119200500,158.67
2013-08-28,163.26,164.49,163.05,163.91,108113000,158.42
2013-08-27,164.36,166.00,163.21,163.33,158619400,157.86
2013-08-26,166.79,167.30,165.89,166.00,89702100,160.44
2013-08-23,166.55,166.83,165.77,166.62,90888900,161.04
2013-08-22,164.90,166.30,164.89,166.06,101471400,160.50
2013-08-21,165.12,166.03,164.19,164.56,159530500,159.05
2013-08-20,165.04,166.20,164.86,165.58,89294400,160.03
2013-08-19,165.64,166.21,164.76,164.77,96437600,159.25
2013-08-16,166.06,166.63,165.50,165.83,130868200,160.27
2013-08-15,167.41,167.43,166.09,166.38,152931800,160.80
2013-08-14,169.53,169.80,168.70,168.74,79829200,163.09
2013-08-13,169.41,169.90,168.41,169.61,80806000,163.93
2013-08-12,168.46,169.31,168.38,169.11,68593300,163.44
2013-08-09,169.58,170.10,168.72,169.31,91757700,163.64
2013-08-08,169.98,170.18,168.93,169.80,102181300,164.11
2013-08-07,169.19,169.43,168.55,169.18,84854700,163.51
2013-08-06,170.37,170.74,169.35,169.73,87495000,164.04
2013-08-05,170.57,170.96,170.35,170.70,54072700,164.98
2013-08-02,170.28,170.97,170.05,170.95,91116700,165.22
2013-08-01,169.99,170.81,169.90,170.66,110438400,164.94
2013-07-31,168.94,169.85,168.49,168.71,142388700,163.06
2013-07-30,169.10,169.28,168.19,168.59,85209600,162.94
2013-07-29,168.68,169.06,168.11,168.59,79695000,162.94
2013-07-26,168.22,169.16,167.52,169.11,107814600,163.44
2013-07-25,168.22,169.08,167.94,168.93,111088600,163.27
2013-07-24,169.79,169.86,168.18,168.52,112914000,162.87
